Category: All categories

Week,Coursera: (Worldwide),udemy: (Worldwide)
2018-05-27,20,36
2018-06-03,19,36
2018-06-10,19,35
2018-06-17,20,36
2018-06-24,19,35
2018-07-01,20,36
2018-07-08,19,40
2018-07-15,18,36
2018-07-22,20,37
2018-07-29,20,40
2018-08-05,19,35
2018-08-12,17,33
2018-08-19,18,36
2018-08-26,19,40
2018-09-02,19,36
2018-09-09,20,34
2018-09-16,19,36
2018-09-23,18,34
2018-09-30,19,33
2018-10-07,18,31
2018-10-14,18,34
2018-10-21,17,34
2018-10-28,17,33
2018-11-04,16,33
2018-11-11,17,37
2018-11-18,17,54
2018-11-25,17,54
2018-12-02,17,37
2018-12-09,16,36
2018-12-16,16,34
2018-12-23,15,34
2018-12-30,16,37
2019-01-06,19,53
2019-01-13,19,41
2019-01-20,19,40
2019-01-27,19,42
2019-02-03,19,39
2019-02-10,20,39
2019-02-17,20,38
2019-02-24,18,35
2019-03-03,17,35
2019-03-10,18,35
2019-03-17,18,37
2019-03-24,20,35
2019-03-31,18,34
2019-04-07,17,35
2019-04-14,17,34
2019-04-21,18,35
2019-04-28,17,34
2019-05-05,18,36
2019-05-12,19,39
2019-05-19,20,39
2019-05-26,20,42
2019-06-02,20,42
2019-06-09,21,49
2019-06-16,24,48
2019-06-23,23,45
2019-06-30,21,43
2019-07-07,21,48
2019-07-14,21,45
2019-07-21,21,45
2019-07-28,22,48
2019-08-04,20,47
2019-08-11,22,45
2019-08-18,25,57
2019-08-25,23,55
2019-09-01,21,49
2019-09-08,21,51
2019-09-15,22,51
2019-09-22,23,52
2019-09-29,19,49
2019-10-06,22,50
2019-10-13,21,49
2019-10-20,21,48
2019-10-27,19,43
2019-11-03,20,50
2019-11-10,19,46
2019-11-17,21,53
2019-11-24,19,68
2019-12-01,19,65
2019-12-08,18,50
2019-12-15,20,53
2019-12-22,19,48
2019-12-29,20,53
2020-01-05,24,70
2020-01-12,24,55
2020-01-19,24,55
2020-01-26,22,57
2020-02-02,23,58
2020-02-09,23,58
2020-02-16,24,61
